vote_decision,year,ons_const_code,constituency_name,under_30,over_65,age,gender,left_right,weight
Conservatives,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,53,Male,6,0.5179433570947595
Labour,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,38,Male,8,1.062404336534459
Labour,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,44,Male,5,0.4228830330911053
Labour,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,20,Male,7,3.0390893749586034
Conservatives,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,21,Female,,0.7326200316253187
Conservatives,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,75,Female,5,1.1537258112902318
Labour,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,42,Male,5,0.8457660661822106
Conservatives,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,68,Male,5,0.5764831397693551
Labour,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,62,Male,4,0.826375113982583
Labour,2017,E14000663,Derby Sout,43.84406115177107,13.27000760275165,62,Female,,0.37753845936031405
Conservatives,2017,E14000714,Grantham a,33.81517563774655,18.60505215966894,78,Female,10,1.1537258112902318
Labour,2017,E14000714,Grantham a,33.81517563774655,18.60505215966894,54,Male,2,1.6845633427777211
Conservatives,2017,E14000714,Grantham a,33.81517563774655,18.60505215966894,55,Female,,1.027350565853524
Conservatives,2017,E14000714,Grantham a,33.81517563774655,18.60505215966894,61,Female,,1.027350565853524
Labour,2017,E14000714,Grantham a,33.81517563774655,18.60505215966894,58,Male,3,0.826375113982583
Labour,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,41,Female,1,0.48537097698877474
Labour,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,28,Male,2,0.5530215542588415
Labour,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,34,Female,6,0.4222507084169125
Conservatives,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,82,Male,10,1.2626664584384768
Labour,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,46,Female,6,0.41317850971303816
Conservatives,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,94,Male,7,0.6313332292192384
Conservatives,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,63,Female,10,1.027350565853524
Conservatives,2017,E14000728,Harborough,34.91784387355705,18.93862629393416,68,Female,,1.5802355570957287
Conservatives,2017,E14000792,Lincoln,42.89314800534166,14.87200707205598,24,Male,4,0.801797733621753
Labour,2017,E14000792,Lincoln,42.89314800534166,14.87200707205598,26,Male,2,1.106043108517683
Conservatives,2017,E14000792,Lincoln,42.89314800534166,14.87200707205598,57,Female,5,1.027350565853524
Conservatives,2017,E14000792,Lincoln,42.89314800534166,14.87200707205598,64,Male,5,0.5621791104380125
Labour,2017,E14000792,Lincoln,42.89314800534166,14.87200707205598,53,Female,4,1.0261481150081617
Labour,2017,E14000792,Lincoln,42.89314800534166,14.87200707205598,71,Female,5,0.4598774003023222
Conservatives,2017,E14000797,Loughborou,42.97871482299323,14.83811770874295,71,Female,8,0.5267451856985762
Labour,2017,E14000797,Loughborou,42.97871482299323,14.83811770874295,57,Female,3,0.8969333185214816
Labour,2017,E14000797,Loughborou,42.97871482299323,14.83811770874295,64,Male,5,0.4908131575415063
Labour,2017,E14000797,Loughborou,42.97871482299323,14.83811770874295,67,Female,2,0.32587264345068884
Labour,2017,E14000810,Mansfield,35.96864051461719,17.17879501464591,27,Female,5,1.0106156492623029
Labour,2017,E14000810,Mansfield,35.96864051461719,17.17879501464591,57,Female,5,0.4484666592607408
Labour,2017,E14000810,Mansfield,35.96864051461719,17.17879501464591,62,Female,5,0.4484666592607408
Conservatives,2017,E14000810,Mansfield,35.96864051461719,17.17879501464591,80,Female,7,1.1537258112902318
Labour,2017,E14000810,Mansfield,35.96864051461719,17.17879501464591,71,Female,5,0.4598774003023222
Conservatives,2017,E14000810,Mansfield,35.96864051461719,17.17879501464591,44,Male,6,0.6084408248447589
Conservatives,2017,E14000843,North East,31.36131756013897,20.91340868112054,48,Male,10,1.5538300712842774
Conservatives,2017,E14000843,North East,31.36131756013897,20.91340868112054,68,Female,8,0.7465113353066517
Labour,2017,E14000843,North East,31.36131756013897,20.91340868112054,72,Female,5,0.32587264345068884
Conservatives,2017,E14000843,North East,31.36131756013897,20.91340868112054,50,Female,6,0.9465122255730742
Conservatives,2017,E14000843,North East,31.36131756013897,20.91340868112054,59,Male,7,0.9465329511414996
Labour,2017,E14000843,North East,31.36131756013897,20.91340868112054,36,Male,3,0.8457660661822106
Labour,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,30,Female,3,0.844501416833825
Labour,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,63,Female,5,0.4484666592607408
Labour,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,58,Male,3,0.826375113982583
Labour,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,64,Female,5,0.7550769187206281
Conservatives,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,58,Female,4,1.027350565853524
Labour,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,33,Male,5,0.9242435271057632
Labour,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,66,Male,1,1.4265727699988389
Labour,2017,E14000861,Northampto,39.97122702803044,15.16846111007982,62,Female,3,1.5101538374412562
Labour,2017,E14000862,Northampto,41.51150990760028,12.57383966244726,39,Male,4,0.5312021682672295
Labour,2017,E14000862,Northampto,41.51150990760028,12.57383966244726,42,Female,2,0.7727948535787951
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,61,Female,,1.027350565853524
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,81,Male,9,2.073787983756293
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,40,Female,,0.8851619331318789
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,51,Male,5,1.2863365036408019
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,73,Male,5,
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,72,Male,10,0.817000724705732
Labour,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,52,Female,4,0.8263570194260763
Labour,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,66,Male,5,0.7132863849994194
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,64,Male,7,0.9465329511414996
Conservatives,2017,E14000909,Rutland an,32.82305847848919,19.76200384440084,51,Female,5,1.4197683383596116
Conservatives,2017,E14000929,Sleaford a,30.98977092637948,21.44863852470825,52,Female,5,0.5876768232564624
Conservatives,2017,E14000929,Sleaford a,30.98977092637948,21.44863852470825,64,Male,7,0.9465329511414996
Conservatives,2017,E14000929,Sleaford a,30.98977092637948,21.44863852470825,62,Male,6,1.124358220876025
Labour,2017,E14000929,Sleaford a,30.98977092637948,21.44863852470825,52,Female,4,0.8263570194260763
Labour,2017,E14000552,Bedford,40.36866997803416,14.75372528842539,37,Male,4,0.38295259746865346
Labour,2017,E14000552,Bedford,40.36866997803416,14.75372528842539,51,Female,4,0.37416441694587194
Labour,2017,E14000552,Bedford,40.36866997803416,14.75372528842539,24,Male,4,1.1008501916690054
Conservatives,2017,E14000552,Bedford,40.36866997803416,14.75372528842539,68,Female,7,0.3380112614188117
Conservatives,2017,E14000552,Bedford,40.36866997803416,14.75372528842539,75,Female,8,0.5223930278908095
Conservatives,2017,E14000594,Brentwood,33.00128016179524,19.35303419860796,72,Male,7,0.5220491211431459
Labour,2017,E14000594,Brentwood,33.00128016179524,19.35303419860796,51,Female,5,0.4646273972704859
Labour,2017,E14000594,Brentwood,33.00128016179524,19.35303419860796,56,Male,3,0.44446846726957207
Conservatives,2017,E14000594,Brentwood,33.00128016179524,19.35303419860796,32,Female,7,1.3139381054726498
Conservatives,2017,E14000594,Brentwood,33.00128016179524,19.35303419860796,52,Female,8,1.59655754660914
Conservatives,2017,E14000594,Brentwood,33.00128016179524,19.35303419860796,44,Male,5,0.43863524699141293
Conservatives,2017,E14000594,Brentwood,33.00128016179524,19.35303419860796,53,Female,6,0.5321858488697135
Conservatives,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,43,Female,6,1.006901680673803
Labour,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,35,Female,4,0.8790803216439519
Conservatives,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,68,Male,6,0.7398560007784177
Labour,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,62,Female,6,0.4061205075706844
Conservatives,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,43,Male,5,0.8772704939828259
Conservatives,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,69,Female,9,0.9540152774297761
Labour,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,20,Female,3,1.0058707681702583
Conservatives,2017,E14000622,Castle Poi,32.02440604015407,21.58934678619718,74,Male,5,0.5220491211431459
Labour,2017,E14000642,Clacton,28.80539837626964,30.20771096193723,44,Female,5,0.43954016082197594
Conservatives,2017,E14000642,Clacton,28.80539837626964,30.20771096193723,83,Female,8,0.42898596727506705
Labour,2017,E14000642,Clacton,28.80539837626964,30.20771096193723,53,Female,7,0.37416441694587194
Labour,2017,E14000642,Clacton,28.80539837626964,30.20771096193723,60,Female,3,0.4061205075706844
Conservatives,2017,E14000693,Epping For,34.50002103403307,17.43090320137983,86,Female,8,0.5223930278908095
Conservatives,2017,E14000693,Epping For,34.50002103403307,17.43090320137983,63,Female,7,1.8606874096068948
Conservatives,2017,E14000693,Epping For,34.50002103403307,17.43090320137983,65,Female,5,1.3520450456752469
Conservatives,2017,E14000693,Epping For,34.50002103403307,17.43090320137983,68,Male,7,2.0881964845725838
Conservatives,2017,E14000717,Great Yarm,34.90650410682895,20.94122968430359,65,Male,5,0.5220491211431459
Labour,2017,E14000717,Great Yarm,34.90650410682895,20.94122968430359,61,Female,,0.4061205075706844
Conservatives,2017,E14000717,Great Yarm,34.90650410682895,20.94122968430359,66,Female,6,0.6760225228376234
Labour,2017,E14000717,Great Yarm,34.90650410682895,20.94122968430359,86,Female,5,0.9121554562814995
Conservatives,2017,E14000729,Harlow,37.8568405976368,15.55938934279483,29,Female,4,0.4379793684908832
Labour,2017,E14000729,Harlow,37.8568405976368,15.55938934279483,32,Female,4,0.7647599592220995
