speaker,date,mp_id,gender,constituency_name,constituency_id,backbencher,surname,ONS ID,Valid votes,Majority,vulnerability
Cheryl Gillan,2017-06-13,18,F,Chesham and Amersham,3407,True,Gillan,E14000631,55252,22140,40.070947658003334
Theresa May,2017-06-13,8,F,Maidenhead,3592,False,May,E14000803,58239,26457,45.42832122804306
Jeremy Corbyn,2017-06-13,185,M,Islington North,3549,False,Corbyn,E14000763,54928,33215,60.47006990969997
Stewart Hosie,2017-06-13,1514,M,Dundee East,922,False,Hosie,S14000015,42928,6645,15.479407379798731
Tim Farron,2017-06-13,1591,M,Westmorland and Lonsdale,3850,True,Farron,E14001037,51687,777,1.5032793545765861
Nigel Dodds,2017-06-13,1388,M,Belfast North,3315,False,Dodds,N06000002,45936,2081,4.530215952629746
Hywel Williams,2017-06-13,1397,M,Arfon,3294,False,Williams,W07000057,28208,92,0.32614861032331255
Caroline Lucas,2017-06-13,3930,F,"Brighton, Pavilion",3366,True,Lucas,E14000598,57687,14699,25.48061088286789
Richard Benyon,2017-06-21,1547,M,Newbury,3624,True,Benyon,E14000830,60849,24380,40.06639386021134
Kwasi Kwarteng,2017-06-21,4134,M,Spelthorne,3764,True,Kwarteng,E14000959,50115,13425,26.7883867105657
Andrew Bridgen,2017-06-21,4133,M,North West Leicestershire,3657,True,Bridgen,E14000858,53541,13286,24.814628042061223
Kelly Tolhurst,2017-06-21,4487,F,Rochester and Strood,3701,True,Tolhurst,E14000898,53769,9850,18.319105804459817
Angus MacNeil,2010-05-26,1546,M,Na h-Eileanan an Iar,2025,False,MacNeil,S14000027,14818,1007,6.795788905385342
Christian Matheson,2017-06-21,4408,M,City of Chester,3416,True,Matheson,E14000640,56421,9176,16.26344800694777
Rachel Reeves,2017-06-21,4031,F,Leeds West,3569,True,Reeves,E14000781,42229,15965,37.80577328376234
Andy Slaughter,2010-06-02,1516,M,Hammersmith,3512,True,Slaughter,E14000726,52252,18651,35.694327489856846
Kevin Hollinrake,2017-06-21,4474,M,Thirsk and Malton,3801,True,Hollinrake,E14000993,55929,19001,33.97343059951009
Maria Miller,2017-06-21,1480,F,Basingstoke,3306,True,Miller,E14000545,55960,9466,16.915654038598998
Jacob Rees-Mogg,2017-06-21,4099,M,North East Somerset,3645,True,Rees-Mogg,E14000846,54043,10235,18.938622948392947
Keith Vaz,2017-06-21,338,M,Leicester East,3570,True,Vaz,E14000782,52424,22428,42.78193193956966
Nadhim Zahawi,2017-06-21,4113,M,Stratford-on-Avon,3783,True,Zahawi,E14000977,53532,21958,41.01845625046701
Pat McFadden,2017-06-21,1587,M,Wolverhampton South East,3863,True,McFadden,E14001050,36304,8514,23.45196121639489
Seema Malhotra,2017-06-21,4253,F,Feltham and Heston,3484,True,Malhotra,E14000701,53027,15603,29.424632734267448
Karen Buck,2017-06-21,199,F,Westminster North,3849,True,Buck,E14001036,43295,11512,26.589675482157293
Carol Monaghan,2017-06-21,4443,F,Glasgow North West,1207,False,Monaghan,S14000033,38844,2561,6.593038821954485
Toby Perkins,2017-06-21,3952,M,Chesterfield,3408,True,Perkins,E14000632,47927,9605,20.04089552861644
Alan Brown,2017-06-21,4470,M,Kilmarnock and Loudoun,1624,False,Brown,S14000040,46509,6269,13.479111569803695
Anne Main,2017-06-21,1568,F,St Albans,3765,True,Main,E14000960,56998,6109,10.717919927014984
James Morris,2017-06-21,3992,M,Halesowen and Rowley Regis,3508,True,Morris,E14000722,44379,5253,11.836679510579327
Jeffrey M. Donaldson,2010-05-26,650,M,Lagan Valley,3563,False,Donaldson,N06000009,44926,19229,42.801495793081955
Kevin Brennan,2017-06-21,1400,M,Cardiff West,3392,False,Brennan,W07000079,46629,12551,26.916725642840294
Nigel Evans,2017-06-21,474,M,Ribble Valley,3697,True,Evans,E14000894,55200,13199,23.91123188405797
Wes Streeting,2017-06-21,4504,M,Ilford North,3545,True,Streeting,E14000759,52941,9639,18.2070606902023
John Penrose,2017-06-21,1584,M,Weston-Super-Mare,3851,True,Penrose,E14001038,56415,11544,20.462642914118586
Oliver Dowden,2017-06-21,4441,M,Hertsmere,3531,True,Dowden,E14000745,52253,16951,32.44024266549289
Nigel Huddleston,2017-06-21,4407,M,Mid Worcestershire,3609,True,Huddleston,E14000818,55089,23326,42.342391403002416
Mike Wood,2017-06-21,4384,M,Dudley South,3452,True,Wood,E14000672,38244,7730,20.212320886936514
Stewart Malcolm McDonald,2015-06-01,4461,M,Glasgow South,1208,True,McDonald,S14000034,44550,2027,4.5499438832772165
Liz Kendall,2017-06-21,4026,F,Leicester West,3572,True,Kendall,E14000784,37512,11060,29.48389848581787
Wendy Morton,2017-06-21,4358,F,Aldridge-Brownhills,3290,True,Morton,E14000531,40235,14307,35.558593264570646
Albert Owen,2017-06-21,1474,M,Ynys Môn,3875,True,Owen,W07000041,37367,5259,14.07391548692697
Edward Miliband,2010-05-27,1510,M,Doncaster North,3449,False,Miliband,E14000669,42312,14024,33.14426167517489
Ian Blackford,2017-06-21,4390,M,"Ross, Skye and Lochaber",2456,False,Blackford,S14000055,38454,5919,15.392416913715087
Jim Cunningham,2017-06-21,308,M,Coventry South,3429,True,Cunningham,E14000651,47009,7947,16.905273458273946
James Cartlidge,2017-06-21,4519,M,South Suffolk,3751,True,Cartlidge,E14000946,54235,17749,32.72609938231769
Huw Merriman,2017-06-21,4442,M,Bexhill and Battle,3322,True,Merriman,E14000557,59472,22165,37.26963949421577
Jim Shannon,2017-06-21,4131,M,Strangford,3782,False,Shannon,N06000016,38749,18343,47.33799581924695
John Redwood,2017-06-21,14,M,Wokingham,3861,True,Redwood,E14001048,59690,18798,31.492712347126822
Joanna Cherry,2017-06-21,4419,F,Edinburgh South West,1048,False,Cherry,S14000025,49390,1097,2.22109738813525
Geraint Davies,2017-06-21,155,M,Swansea West,3793,True,Davies,W07000047,37282,10598,28.42658655651521
Alison Thewliss,2017-06-21,4430,F,Glasgow Central,1203,False,Thewliss,S14000029,35984,2267,6.300022232103157
William Cash,2010-05-26,288,M,Stone,3780,True,Cash,E14000975,50032,17495,34.96762072273745
Kenneth Clarke,2017-06-21,366,M,Rushcliffe,3711,True,Clarke,E14000908,58311,8010,13.736687760456862
Anna Soubry,2017-06-21,3938,F,Broxtowe,3375,True,Soubry,E14000607,55508,863,1.5547308496072638
David Davis,2017-06-21,373,M,Haltemprice and Howden,3510,False,Davis,E14000724,51440,15405,29.94751166407465
Peter Bottomley,2017-06-21,117,M,Worthing West,3868,True,Bottomley,E14001055,54503,12090,22.18226519641121
Norman Lamb,2017-06-21,1439,M,North Norfolk,3647,False,Lamb,E14000848,52188,3512,6.729516363915076
Kevan Jones,2017-06-21,1438,M,North Durham,3639,True,Jones,E14000840,43284,12939,29.893263099528696
Jonathan Reynolds,2017-06-21,4119,M,Stalybridge and Hyde,3772,False,Reynolds,E14000967,42457,8084,19.040440916692184
James Heappey,2017-06-21,4528,M,Wells,3838,True,Heappey,E14001026,60843,7582,12.461581447331657
Sammy Wilson,2017-06-21,1593,M,East Antrim,3459,False,Wilson,N06000005,38143,15923,41.745536533571034
Dominic Grieve,2017-06-21,16,M,Beaconsfield,3311,True,Grieve,E14000550,56028,24543,43.80488327264939
Tom Brake,2017-06-21,151,M,Carshalton and Wallington,3396,False,Brake,E14000621,50753,1369,2.697377494926408
Meg Hillier,2017-06-21,1524,F,Hackney South and Shoreditch,3507,True,Hillier,E14000721,55354,37931,68.52440654695235
Ian Paisley,2017-06-21,4129,M,North Antrim,3634,False,Paisley,N06000012,48460,20643,42.59801898472968
Alex Chalk,2017-06-21,4481,M,Cheltenham,3406,True,Chalk,E14000630,57012,2569,4.506068897775907
Andrew Mitchell,2017-06-21,1211,M,Sutton Coldfield,3791,True,Mitchell,E14000985,52858,15339,29.01925914714896
Crispin Blunt,2017-06-21,104,M,Reigate,3695,True,Blunt,E14000893,53823,17614,32.725786373855044
Joan Ryan,2017-06-21,166,F,Enfield North,3474,True,Ryan,E14000691,48565,10247,21.099557294347782
George Freeman,2017-06-21,4020,M,Mid Norfolk,3606,True,Freeman,E14000816,55668,16086,28.89631386074585
Heidi Alexander,2017-06-21,4038,F,Lewisham East,3575,True,Alexander,E14000787,47201,21213,44.941844452448045
Anne-Marie Trevelyan,2017-06-21,4531,F,Berwick-upon-Tweed,3319,True,Trevelyan,E14000554,42212,11781,27.909125367194164
Julian Lewis,2017-06-21,54,M,New Forest East,3621,True,Lewis,E14000827,51366,21995,42.82015340886968
Vicky Ford,2017-06-21,4674,F,Chelmsford,3404,True,Ford,E14000628,56860,13572,23.869152303904325
Catherine McKinnell,2017-06-21,4125,F,Newcastle upon Tyne North,3627,True,McKinnell,E14000833,48288,10349,21.431825712392314
