speaker,date,mp_id,gender,constituency_name,constituency_id,backbencher,surname,ONS ID,Valid votes,Majority,vulnerability
Stephen Doughty,2015-05-28,4264,M,Cardiff South and Penarth,3391,False,Doughty,W07000080,46667,7453,15.970600209998501
Dennis Skinner,2015-05-28,325,M,Bolsover,3343,True,Skinner,E14000577,43998,11778,26.769398609027682
John Whittingdale,2015-05-28,39,M,Maldon,3595,False,Whittingdale,E14000806,48045,22070,45.93610157144344
Chris Bryant,2015-05-28,1446,M,Rhondda,3696,False,Bryant,W07000052,31538,7455,23.638150802206862
Damian Collins,2015-05-28,3986,M,Folkestone and Hythe,3488,True,Collins,E14000704,55010,13797,25.080894382839485
Damian Green,2015-05-28,76,M,Ashford,3297,True,Green,E14000536,57372,19296,33.63313114411211
Nigel Mills,2015-05-28,4136,M,Amber Valley,3293,True,Mills,E14000533,45717,4205,9.197891375199598
Theresa May,2015-05-28,8,F,Maidenhead,3592,False,May,E14000803,53855,29059,53.95784978182155
Kate Green,2015-05-28,4120,F,Stretford and Urmston,3785,False,Green,E14000979,46386,11685,25.190790324666924
Yvette Cooper,2015-05-28,420,F,"Normanton, Pontefract and Castleford",3633,False,Cooper,E14000836,45897,15428,33.614397455171364
Mike Weir,2010-06-22,1384,M,Angus,59,False,Weir,S14000004,44485,11230,25.24446442621108
Richard Fuller,2015-05-28,3912,M,Bedford,3313,True,Fuller,E14000552,46086,1097,2.380332421993664
Margaret Hodge,2015-05-28,140,F,Barking,3301,True,Hodge,E14000540,43041,15272,35.482446969168926
Robert Syms,2015-05-28,245,M,Poole,3682,True,Syms,E14000881,47393,15789,33.31504652585825
Liam Fox,2015-05-28,223,M,North Somerset,3649,True,Fox,E14000850,58942,23099,39.189372603576395
Joanna Cherry,2015-05-28,4419,F,Edinburgh South West,1048,False,Cherry,S14000025,51602,8135,15.7648928336111
Dawn Butler,2015-05-28,1489,F,Brent Central,3358,True,Butler,E14000591,47032,19649,41.777938424902196
Marie Rimmer,2015-05-28,4457,F,St Helens South and Whiston,3768,True,Rimmer,E14000963,48397,21243,43.89321652168523
Nick Thomas-Symonds,2015-05-28,4479,M,Torfaen,3808,True,Thomas-Symonds,W07000053,37937,8169,21.533067981126607
Robert Flello,2010-05-26,1569,M,Stoke-on-Trent South,3779,True,Flello,E14000974,39107,2539,6.492443808013911
Ian Blackford,2015-05-28,4390,M,"Ross, Skye and Lochaber",2456,False,Blackford,S14000055,41811,5124,12.255148166750377
John Glen,2015-05-28,4051,M,Salisbury,3715,True,Glen,E14000912,50705,20421,40.27413470071985
Keir Starmer,2015-05-28,4514,M,Holborn and St Pancras,3536,True,Starmer,E14000750,54917,17048,31.04321066336471
Craig Mackinlay,2015-05-28,4529,M,South Thanet,3753,True,Mackinlay,E14000948,49401,2812,5.69219246573956
Stephen Hammond,2015-05-28,1585,M,Wimbledon,3853,True,Hammond,E14001040,48422,12619,26.06046838214035
Jess Phillips,2015-05-28,4370,F,"Birmingham, Yardley",3333,True,Phillips,E14000568,41151,6595,16.026342008699668
Neil Carmichael,2015-05-28,4104,M,Stroud,3786,True,Carmichael,E14000980,60819,4866,8.000789227050758
Tommy Sheppard,2015-05-28,4453,M,Edinburgh East,1035,False,Sheppard,S14000022,47089,9106,19.337849603941475
Peter Dowd,2015-05-28,4397,M,Bootle,3347,True,Dowd,E14000581,45152,28704,63.5719347980156
Peter Lilley,2015-05-28,68,M,Hitchin and Harpenden,3535,True,Lilley,E14000749,55375,20055,36.21670428893905
Andy Slaughter,2010-06-02,1516,M,Hammersmith,3512,True,Slaughter,E14000726,47960,6518,13.590492076730609
Michael Gove,2015-05-28,1571,M,Surrey Heath,3789,False,Gove,E14000983,54431,24804,45.56962025316456
Julian Lewis,2015-05-28,54,M,New Forest East,3621,True,Lewis,E14000827,49447,19162,38.75260379800595
Penny Mordaunt,2015-05-28,4017,F,Portsmouth North,3684,False,Mordaunt,E14000883,45390,10537,23.21436439744437
Maria Miller,2015-06-01,1480,F,Basingstoke,3306,True,Miller,E14000545,53076,11063,20.843695832391287
Ben Bradshaw,2015-06-01,230,M,Exeter,3481,True,Bradshaw,E14000698,54018,7183,13.29741937872561
Stewart Malcolm McDonald,2015-06-01,4461,M,Glasgow South,1208,True,McDonald,S14000034,48778,12269,25.152732789372255
Jesse Norman,2015-06-01,3991,M,Hereford and South Herefordshire,3529,True,Norman,E14000743,47257,16890,35.7407368220581
Greg Mulholland,2015-06-01,1540,M,Leeds North West,3568,True,Mulholland,E14000780,43357,2907,6.704799686325161
David Burrowes,2015-06-01,1518,M,"Enfield, Southgate",3475,True,Burrowes,E14000692,45812,4753,10.375010914170959
Gareth Johnson,2015-06-01,3970,M,Dartford,3438,True,Johnson,E14000659,52418,12345,23.551070243046283
David Hanson,2015-06-01,533,M,Delyn,3440,False,Hanson,W07000042,37457,2930,7.822302907333743
Andrew Bridgen,2015-06-01,4133,M,North West Leicestershire,3657,True,Bridgen,E14000858,51548,11373,22.06293163653294
Clive Betts,2015-06-01,394,M,Sheffield South East,3723,True,Betts,E14000920,41685,12311,29.533405301667266
Bill Esterson,2015-06-01,4061,M,Sefton Central,3719,True,Esterson,E14000916,49021,11846,24.165153709634644
Chi Onwurah,2015-06-01,4124,F,Newcastle upon Tyne Central,3625,False,Onwurah,E14000831,35085,12673,36.120849365825855
Barry Gardiner,2015-06-01,146,M,Brent North,3359,False,Gardiner,E14000592,52235,10834,20.74088255001436
Mike Gapes,2015-06-01,184,M,Ilford South,3546,True,Gapes,E14000760,51912,19777,38.09716443211589
Philip Hammond,2015-06-01,105,M,Runnymede and Weybridge,3710,False,Hammond,E14000907,50052,22134,44.22200911052505
Gisela Stuart,2015-06-01,296,F,"Birmingham, Edgbaston",3325,True,Stuart,E14000560,41293,2706,6.5531688179594605
Keith Simpson,2015-06-01,126,M,Broadland,3371,True,Simpson,E14000603,53089,16838,31.716551451336432
Henry Smith,2015-06-01,3960,M,Crawley,3430,True,Smith,E14000652,48550,6526,13.441812564366632
Jim Cunningham,2015-06-01,308,M,Coventry South,3429,True,Cunningham,E14000651,43699,3188,7.2953614499187625
John Baron,2015-06-01,1390,M,Basildon and Billericay,3305,True,Baron,E14000544,43028,12482,29.009017384029008
Ian Lucas,2010-05-25,1470,M,Wrexham,3869,False,Lucas,W07000044,32719,1831,5.596136801246982
John Howell,2015-06-01,1606,M,Henley,3528,True,Howell,E14000742,55236,25375,45.93924252299225
Tim Loughton,2015-06-01,114,M,East Worthing and Shoreham,3465,True,Loughton,E14000682,49898,14949,29.959116597859637
Hilary Benn,2015-06-01,413,M,Leeds Central,3565,False,Benn,E14000777,45048,16967,37.66426922393891
Bob Stewart,2015-06-01,3919,M,Beckenham,3312,True,Stewart,E14000551,48803,18471,37.8480831096449
Bob Blackman,2015-06-01,4005,M,Harrow East,3517,True,Blackman,E14000731,49000,4757,9.708163265306123
Gerald Kaufman,2015-06-01,451,M,"Manchester, Gorton",3597,True,Kaufman,E14000808,42019,24079,57.30502867750303
Alan Duncan,2015-06-01,343,M,Rutland and Melton,3712,True,Duncan,E14000909,54603,21705,39.75056315587055
Suella Fernandes,2015-06-01,4475,F,Fareham,3482,True,Fernandes,E14000699,54700,22262,40.69835466179159
Madeleine Moon,2015-06-01,1490,F,Bridgend,3362,True,Moon,W07000073,39453,1927,4.884292702709553
Melanie Onn,2015-06-01,4464,F,Great Grimsby,3502,True,Onn,E14000716,33731,4540,13.459429011888174
Richard Benyon,2015-06-01,1547,M,Newbury,3624,True,Benyon,E14000830,57300,26368,46.017452006980804
Alan Whitehead,2015-06-01,62,M,"Southampton, Test",3761,True,Whitehead,E14000956,43652,3810,8.728122422798497
Rebecca Pow,2015-06-01,4522,F,Taunton Deane,3796,True,Pow,E14000988,57887,15491,26.760758028572912
Julie Cooper,2015-06-01,4405,F,Burnley,3377,True,Cooper,E14000609,39746,3244,8.161827605293615
Tasmina Ahmed-Sheikh,2015-06-01,4427,F,Ochil and South Perthshire,2234,False,Ahmed-Sheikh,S14000050,57871,10168,17.57011283717233
Johnny Mercer,2015-06-01,4485,M,"Plymouth, Moor View",3679,True,Mercer,E14000879,42606,1026,2.4081115335868186
Richard Graham,2015-06-01,3990,M,Gloucester,3497,True,Graham,E14000712,52575,7251,13.791726105563482
Gavin Robinson,2015-06-01,4360,M,Belfast East,3314,False,Robinson,N06000001,39682,2597,6.544529005594477
Nadhim Zahawi,2015-06-01,4113,M,Stratford-on-Avon,3783,True,Zahawi,E14000977,51459,22876,44.454808682640554
Stephen Twigg,2015-06-01,167,M,"Liverpool, West Derby",3584,False,Twigg,E14000796,41031,27367,66.69835002802759
Maria Caulfield,2015-06-01,4492,F,Lewes,3574,True,Caulfield,E14000786,50540,1083,2.142857142857143
Conor McGinn,2015-06-01,4458,M,St Helens North,3767,True,McGinn,E14000962,46256,17291,37.38109650639917
Danny Kinahan,2015-06-01,4381,M,South Antrim,3736,True,Kinahan,N06000014,36523,949,2.598362675574296
Scott Mann,2015-06-01,4496,M,North Cornwall,3635,True,Mann,E14000837,48245,6621,13.723701938024666
Fabian Hamilton,2015-06-01,415,M,Leeds North East,3567,True,Hamilton,E14000779,48291,7250,15.013149448137334
Andrew Rosindell,2015-06-01,1447,M,Romford,3703,True,Rosindell,E14000900,49178,13859,28.18130058156086
Albert Owen,2015-06-01,1474,M,Ynys Môn,3875,True,Owen,W07000041,34926,229,0.6556719922121056
Flick Drummond,2015-06-01,4459,F,Portsmouth South,3685,True,Drummond,E14000884,41903,5241,12.50745769992602
Patrick Grady,2015-06-01,4432,M,Glasgow North,1205,False,Grady,S14000031,36922,9295,25.174692595200693
Oliver Colvile,2015-06-01,4022,M,"Plymouth, Sutton and Devonport",3680,True,Colvile,E14000880,47963,523,1.0904238683985572
Anne-Marie Trevelyan,2015-06-01,4531,F,Berwick-upon-Tweed,3319,True,Trevelyan,E14000554,40423,4914,12.156445587907875
Susan Elan Jones,2015-06-01,3956,F,Clwyd South,3420,False,Jones,W07000062,35064,2402,6.850330823636779
James Heappey,2015-06-01,4528,M,Wells,3838,True,Heappey,E14001026,56904,7585,13.32946717278223
Mike Wood,2015-06-01,4384,M,Dudley South,3452,True,Wood,E14000672,38210,4270,11.175085056267992
Nia Griffith,2015-06-01,1541,F,Llanelli,3585,False,Griffith,W07000045,38574,7095,18.393218229895787
Gavin Shuker,2015-06-01,4013,M,Luton South,3590,False,Shuker,E14000801,42216,5711,13.528046238393026
Phil Wilson,2015-06-01,1603,M,Sedgefield,3718,False,Wilson,E14000915,38716,6843,17.674863105692737
Robert Jenrick,2015-06-01,4320,M,Newark,3623,True,Jenrick,E14000829,52302,18474,35.32178501778135
Jonathan Reynolds,2015-06-01,4119,M,Stalybridge and Hyde,3772,False,Reynolds,E14000967,41034,6686,16.293805137203297
Mary Creagh,2015-06-01,1579,F,Wakefield,3821,False,Creagh,E14001009,42973,2613,6.080562213482884
Justine Greening,2015-06-01,1555,F,Putney,3689,False,Greening,E14000887,42813,10180,23.77782449256067
Ian Liddell-Grainger,2015-06-01,1396,M,Bridgwater and West Somerset,3363,True,Liddell-Grainger,E14000595,54447,14583,26.783844839936084
Andrew Bingham,2015-06-01,3994,M,High Peak,3534,True,Bingham,E14000748,50789,4894,9.635944791194943
Rory Stewart,2015-06-01,4137,M,Penrith and The Border,3677,False,Stewart,E14000877,43921,19894,45.29496140798251
Emma Lewell-Buck,2015-06-02,4277,F,South Shields,3749,True,Lewell-Buck,E14000944,36265,10614,29.267889149317522
Jeremy Hunt,2015-06-02,1572,M,South West Surrey,3758,False,Hunt,E14000953,57119,28556,49.99387244174443
James Gray,2015-06-02,261,M,North Wiltshire,3659,True,Gray,E14000860,50556,21046,41.62908457947622
Clive Lewis,2015-06-02,4500,M,Norwich South,3663,True,Lewis,E14000864,48463,7654,15.7934919423065
Caroline Nokes,2015-06-02,4048,F,Romsey and Southampton North,3704,True,Nokes,E14000901,48398,17712,36.596553576594076
Ronnie Campbell,2015-06-02,514,M,Blyth Valley,3341,True,Campbell,E14000575,38461,9229,23.995735940303163
Ben Gummer,2015-06-02,3988,M,Ipswich,3547,False,Gummer,E14000761,48694,3733,7.666242247504826
Jeremy Lefroy,2015-06-02,4109,M,Stafford,3770,True,Lefroy,E14000965,48767,9177,18.818053191707506
Valerie Vaz,2015-06-02,4076,F,Walsall South,3824,True,Vaz,E14001012,41838,6007,14.357760887231702
Alistair Burt,2015-06-02,1201,M,North East Bedfordshire,3640,False,Burt,E14000841,58672,25644,43.70739023725116
Kevin Barron,2015-06-02,392,M,Rother Valley,3706,True,Barron,E14000903,47019,7297,15.519258172228248
Karin Smyth,2015-06-02,4444,F,Bristol South,3369,True,Smyth,E14000601,50842,7128,14.019904803115535
Graham Evans,2015-06-02,4081,M,Weaver Vale,3836,True,Evans,E14001024,46867,806,1.7197601724027567
Michael Tomlinson,2015-06-02,4497,M,Mid Dorset and North Poole,3605,True,Tomlinson,E14000815,46499,10530,22.645648293511687
Margaret Ritchie,2015-06-02,4130,F,South Down,3741,True,Ritchie,N06000015,42697,5891,13.797222287280137
Philippa Whitford,2015-06-02,4385,F,Central Ayrshire,614,False,Whitford,S14000010,50774,13589,26.76369795564659
Jake Berry,2015-06-02,4060,M,Rossendale and Darwen,3705,True,Berry,E14000902,49024,5654,11.533126631853786
Liz Kendall,2015-06-02,4026,F,Leicester West,3572,False,Kendall,E14000784,34522,7203,20.864955680435664
Jane Ellison,2015-06-02,3918,F,Battersea,3310,False,Ellison,E14000549,51031,7938,15.555250729948463
Sarah Wollaston,2015-06-02,4073,F,Totnes,3810,True,Wollaston,E14001001,47097,18285,38.82412892540926
Iain Stewart,2015-06-02,4015,M,Milton Keynes South,3613,True,Stewart,E14000822,58949,8672,14.711021391372203
Barry Sheerman,2015-06-02,411,M,Huddersfield,3542,True,Sheerman,E14000756,40478,7345,18.14565937052226
Luciana Berger,2015-06-02,4036,F,"Liverpool, Wavertree",3583,False,Berger,E14000795,40974,24303,59.31322301947577
Jonathan Djanogly,2015-06-02,1425,M,Huntingdon,3543,True,Djanogly,E14000757,55927,19403,34.69343966241708
Andy Burnham,2015-06-02,1427,M,Leigh,3573,False,Burnham,E14000785,45123,14096,31.23905768676728
Andrea Jenkyns,2015-06-02,4490,F,Morley and Outwood,3619,True,Jenkyns,E14000826,48250,422,0.8746113989637306
Jamie Reed,2015-06-02,1503,M,Copeland,3425,False,Reed,E14000647,39631,2564,6.469682824051878
Derek Thomas,2015-06-02,4532,M,St Ives,3769,True,Thomas,E14000964,48312,2469,5.110531544957774
Heidi Alexander,2015-06-02,4038,F,Lewisham East,3575,False,Alexander,E14000787,42923,14333,33.3923537497379
Ian Lavery,2015-06-02,4139,M,Wansbeck,3826,True,Lavery,E14001014,38528,10881,28.241798172757477
John Pugh,2015-06-02,1454,M,Southport,3763,True,Pugh,E14000958,44101,1322,2.9976644520532414
Julian Knight,2015-06-02,4410,M,Solihull,3734,True,Knight,E14000931,54779,12902,23.552821336643603
Tulip Siddiq,2015-06-02,4518,F,Hampstead and Kilburn,3513,True,Siddiq,E14000727,53964,1138,2.10881328292936
Norman Lamb,2015-06-02,1439,M,North Norfolk,3647,True,Lamb,E14000848,49414,4043,8.181891771562714
Pauline Latham,2015-06-02,4025,F,Mid Derbyshire,3604,True,Latham,E14000814,47729,12774,26.76360284104004
Jack Dromey,2015-06-02,3913,M,"Birmingham, Erdington",3326,False,Dromey,E14000561,34684,5129,14.787798408488065
James Morris,2015-06-02,3992,M,Halesowen and Rowley Regis,3508,True,Morris,E14000722,43818,3082,7.033639143730887
Paula Sherriff,2015-06-02,4426,F,Dewsbury,3446,True,Sherriff,E14000666,53630,1451,2.705575237740071
Paul Farrelly,2015-06-02,1436,M,Newcastle-under-Lyme,3628,True,Farrelly,E14000834,42997,650,1.5117333767472148
Andrew Percy,2015-06-02,3939,M,Brigg and Goole,3364,True,Percy,E14000596,43270,11176,25.828518604113704
John Woodcock,2015-06-02,3917,M,Barrow and Furness,3304,False,Woodcock,E14000543,43275,795,1.8370883882149045
Steve Rotheram,2015-06-02,4035,M,"Liverpool, Walton",3582,True,Rotheram,E14000794,38403,27777,72.33028669635185
Jo Cox,2015-06-02,4375,F,Batley and Spen,3309,True,Cox,E14000548,50479,6057,11.999049109530697
Karen Buck,2015-06-02,199,F,Westminster North,3849,True,Buck,E14001036,39514,1977,5.0032899731740645
Grahame Morris,2010-05-27,3973,M,Easington,3458,True,Morris,E14000677,34624,14641,42.285697781885396
