speaker,date,mp_id,gender,constituency_name,constituency_id,backbencher,surname,ONS ID,Valid votes,Majority,vulnerability
Jacob Rees-Mogg,2015-05-18,4099,M,North East Somerset,3645,True,Rees-Mogg,E14000846,51110,12749,24.944237918215613
David Cameron,2015-05-18,1467,M,Witney,3859,False,Cameron,E14001046,58482,25155,43.01323484148969
Harriet Harman,2015-05-18,150,F,Camberwell and Peckham,3384,False,Harman,E14000615,51561,25824,50.084366090649915
Angus Robertson,2015-05-18,1433,M,Moray,2004,False,Robertson,S14000046,49280,9065,18.394886363636363
Nigel Dodds,2015-05-18,1388,M,Belfast North,3315,False,Dodds,N06000002,40593,5326,13.120488754218707
Alasdair McDonnell,2015-05-18,1596,M,Belfast South,3316,True,McDonnell,N06000003,38957,906,2.3256410914598145
Jonathan Edwards,2015-05-18,3943,M,Carmarthen East and Dinefwr,3394,False,Edwards,W07000067,39399,5599,14.211020584278788
Alistair Carmichael,2015-05-18,1442,M,Orkney and Shetland,2256,True,Carmichael,S14000051,22728,817,3.5946849700809573
Simon Burns,2015-05-27,46,M,Chelmsford,3404,True,Burns,E14000628,53817,18250,33.91121764498207
Sheryll Murray,2015-05-27,4100,F,South East Cornwall,3743,True,Murray,E14000938,50498,16995,33.6547982098301
David Winnick,2015-05-27,316,M,Walsall North,3823,True,Winnick,E14001011,36883,1937,5.251741994957026
Chloe Smith,2015-05-27,1609,F,Norwich North,3662,True,Smith,E14000863,43592,4463,10.238117085703799
Mark Spencer,2015-05-27,4055,M,Sherwood,3727,True,Spencer,E14000924,50698,4647,9.166042052940943
Keith Vaz,2015-05-27,338,M,Leicester East,3570,True,Vaz,E14000782,48068,18352,38.179246068070235
Emily Thornberry,2015-05-27,1536,F,Islington South and Finsbury,3550,True,Thornberry,E14000764,44270,12708,28.705669753783603
Seema Malhotra,2015-05-27,4253,F,Feltham and Heston,3484,False,Malhotra,E14000701,49405,11463,23.202105050096144
Geraint Davies,2015-05-27,155,M,Swansea West,3793,True,Davies,W07000047,35156,7036,20.013653430424394
Gerald Howarth,2015-05-27,47,M,Aldershot,3289,True,Howarth,E14000530,46191,14901,32.25953107748263
Gareth Thomas,2010-06-02,177,M,Harrow West,3518,False,Thomas,E14000732,46603,2208,4.737892410359848
Barbara Keeley,2015-05-27,1588,F,Worsley and Eccles South,3867,False,Keeley,E14001054,42048,5946,14.140981735159816
Toby Perkins,2015-05-27,3952,M,Chesterfield,3408,False,Perkins,E14000632,45567,13598,29.841771457414357
Caroline Lucas,2015-05-27,3930,F,"Brighton, Pavilion",3366,True,Lucas,E14000598,54676,7967,14.571292706123346
Christopher Pincher,2015-05-27,4075,M,Tamworth,3794,True,Pincher,E14000986,47174,11302,23.95811251960826
Pete Wishart,2015-05-27,1440,M,Perth and North Perthshire,2316,False,Wishart,S14000054,54200,9641,17.78782287822878
Kevin Brennan,2015-05-27,1400,M,Cardiff West,3392,False,Brennan,W07000079,43792,6789,15.502831567409572
Edward Leigh,2015-05-27,345,M,Gainsborough,3492,True,Leigh,E14000707,49261,15449,31.361523314589633
David Davis,2015-05-27,373,M,Haltemprice and Howden,3510,True,Davis,E14000724,48757,16195,33.21574338043768
Ian Austin,2015-05-27,1511,M,Dudley North,3451,True,Austin,E14000671,37992,4181,11.004948410191618
John Redwood,2015-05-27,14,M,Wokingham,3861,True,Redwood,E14001048,55999,24197,43.20970017321738
Clive Efford,2015-05-27,165,M,Eltham,3473,False,Efford,E14000690,43157,2693,6.2400074147878675
William Cash,2010-05-26,288,M,Stone,3780,True,Cash,E14000975,47031,16250,34.55167868001956
Jeremy Corbyn,2015-05-27,185,M,Islington North,3549,True,Corbyn,E14000763,49234,21194,43.04748750863225
Angus MacNeil,2010-05-26,1546,M,Na h-Eileanan an Iar,2025,False,MacNeil,S14000027,15938,4102,25.737231773120843
David Tredinnick,2015-05-27,335,M,Bosworth,3349,True,Tredinnick,E14000583,53582,10988,20.506886641036168
Alex Salmond,2015-05-27,577,M,Gordon,1284,False,Salmond,S14000037,58161,8687,14.936125582434965
Cheryl Gillan,2015-05-27,18,F,Chesham and Amersham,3407,True,Gillan,E14000631,52730,23920,45.36317087047222
Graham Allen,2015-05-27,364,M,Nottingham North,3665,True,Allen,E14000866,35343,11860,33.55685708626885
Geoffrey Clifton-Brown,2015-05-27,249,M,The Cotswolds,3799,True,Clifton-Brown,E14000991,56667,21477,37.90036529196887
Boris Johnson,2015-05-27,1423,M,Uxbridge and South Ruislip,3817,True,Johnson,E14001007,44811,10695,23.86690767891812
Dominic Grieve,2015-05-27,16,M,Beaconsfield,3311,True,Grieve,E14000550,53163,26311,49.4911874800143
Nick Clegg,2015-05-27,1563,M,"Sheffield, Hallam",3725,True,Clegg,E14000922,55481,2353,4.241091544853193
Rehman Chishti,2015-05-27,3987,M,Gillingham and Rainham,3496,True,Chishti,E14000711,47078,10530,22.36713539232763
Andrew Mitchell,2015-05-27,1211,M,Sutton Coldfield,3791,True,Mitchell,E14000985,50854,16417,32.28261297046447
Tom Brake,2015-05-27,151,M,Carshalton and Wallington,3396,True,Brake,E14000621,47613,1510,3.1714027681515553
Greg Knight,2015-05-27,1200,M,East Yorkshire,3466,True,Knight,E14000683,49991,14933,29.871376847832607
David Lammy,2015-05-27,206,M,Tottenham,3811,True,Lammy,E14001002,42558,23564,55.36914328680859
Sammy Wilson,2015-05-27,1593,M,East Antrim,3459,False,Wilson,N06000005,33497,5795,17.300056721497448
David Amess,2015-05-27,44,M,Southend West,3762,True,Amess,E14000957,44509,14021,31.501494079849017
Peter Bottomley,2015-05-27,117,M,Worthing West,3868,True,Bottomley,E14001055,50763,16855,33.20331737682958
Ian Paisley,2015-05-27,4129,M,North Antrim,3634,False,Paisley,N06000012,41907,11546,27.551483045791876
Jim Shannon,2015-05-27,4131,M,Strangford,3782,False,Shannon,N06000016,33924,10185,30.022992571630702
Stewart Jackson,2015-05-27,1551,M,Peterborough,3678,True,Jackson,E14000878,47075,1925,4.089219330855019
Louise Ellman,2015-05-27,484,F,"Liverpool, Riverside",3581,True,Ellman,E14000793,44263,24463,55.26737907507398
Stephen Pound,2010-06-02,161,M,Ealing North,3456,False,Pound,E14000675,48510,12326,25.40919398062255
Edward Garnier,2015-05-27,337,M,Harborough,3514,True,Garnier,E14000728,52471,19632,37.41495302166911
Brendan O'Hara,2015-05-27,4371,M,Argyll and Bute,67,False,O'Hara,S14000005,51883,8473,16.330975464024824
John McDonnell,2010-06-24,178,M,Hayes and Harlington,3523,True,McDonnell,E14000737,45056,15700,34.84552556818182
Meg Hillier,2015-05-27,1524,F,Hackney South and Shoreditch,3507,True,Hillier,E14000721,47580,24213,50.8890290037831
Chris Evans,2015-05-27,4040,M,Islwyn,3551,True,Evans,W07000077,35401,10404,29.389000310725688
David Rutley,2015-05-27,4033,M,Macclesfield,3591,True,Rutley,E14000802,49598,14811,29.86209121335538
Kwasi Kwarteng,2015-05-27,4134,M,Spelthorne,3764,True,Kwarteng,E14000959,49079,14152,28.835143340328855
John Mann,2015-05-27,1387,M,Bassetlaw,3307,True,Mann,E14000546,49289,8843,17.94112276572866
Rob Marris,2015-05-27,1468,M,Wolverhampton South West,3864,True,Marris,E14001051,40209,801,1.9920913228381705
Michael Ellis,2015-05-27,4116,M,Northampton North,3660,True,Ellis,E14000861,39411,3245,8.233741848722438
Eilidh Whiteford,2015-05-27,3911,F,Banff and Buchan,110,False,Whiteford,S14000007,45629,14339,31.42519012031822
Stephen Gethins,2015-05-27,4434,M,North East Fife,2135,False,Gethins,S14000049,45263,4344,9.59724278107947
Richard Bacon,2015-05-27,1451,M,South Norfolk,3746,True,Bacon,E14000941,57123,20493,35.875216637781634
Hannah Bardell,2015-05-27,4486,F,Livingston,1826,False,Bardell,S14000044,57547,16843,29.268250299754982
Nick Boles,2010-06-08,3995,M,Grantham and Stamford,3500,True,Boles,E14000714,53755,18989,35.32508603850805
Angela Eagle,2015-05-28,491,F,Wallasey,3822,False,Eagle,E14001010,43366,16348,37.697735553198356
Chris Grayling,2015-05-28,1413,M,Epsom and Ewell,3477,False,Grayling,E14000694,57143,24443,42.77514306214235
Philip Davies,2015-05-28,1565,M,Shipley,3728,True,Davies,E14000925,50542,9624,19.04158917336077
Cat Smith,2015-05-28,4436,F,Lancaster and Fleetwood,3564,True,Smith,E14000776,41738,1265,3.0308112511380516
Crispin Blunt,2015-05-28,104,M,Reigate,3695,True,Blunt,E14000893,51349,22334,43.494517906872574
Nigel Evans,2015-05-28,474,M,Ribble Valley,3697,True,Evans,E14000894,52243,13606,26.043680493080412
Rachael Maskell,2015-05-28,4471,F,York Central,3876,True,Maskell,E14001061,47677,6716,14.086456782096187
Peter Bone,2015-05-28,1581,M,Wellingborough,3837,True,Bone,E14001025,50430,16397,32.51437636327583
Paul Flynn,2015-05-28,545,M,Newport West,3630,True,Flynn,W07000056,40347,3510,8.699531563685033
Martin Vickers,2015-05-28,3957,M,Cleethorpes,3419,True,Vickers,E14000643,45089,7893,17.505378251901792
Stephen Phillips,2015-05-28,4054,M,Sleaford and North Hykeham,3732,True,Phillips,E14000929,61944,24115,38.930324163760815
Wes Streeting,2015-05-28,4504,M,Ilford North,3545,True,Streeting,E14000759,48932,589,1.2037112727867245
Jason McCartney,2015-05-28,3953,M,Colne Valley,3423,True,McCartney,E14000645,56800,5378,9.468309859154928
Mark Pawsey,2015-05-28,4052,M,Rugby,3708,True,Pawsey,E14000905,49006,10345,21.109660041627556
Louise Haigh,2015-05-28,4473,F,"Sheffield, Heeley",3726,True,Haigh,E14000923,42048,12954,30.807648401826484
Andrew Turner,2015-05-28,1426,M,Isle of Wight,3548,True,Turner,E14000762,70300,13703,19.49217638691323
Lilian Greenwood,2015-05-28,4029,F,Nottingham South,3666,False,Greenwood,E14000867,43465,6936,15.95766708846198
Graham Stuart,2015-05-28,1482,M,Beverley and Holderness,3321,True,Stuart,E14000556,52677,12203,23.165707994001178
Ruth Smeeth,2015-05-28,4508,F,Stoke-on-Trent North,3778,True,Smeeth,E14000973,38654,4836,12.510994981114504
Nick Smith,2015-05-28,3928,M,Blaenau Gwent,3339,True,Smith,W07000072,31683,12703,40.09405674967648
Philip Hollobone,2015-05-28,1537,M,Kettering,3556,True,Hollobone,E14000769,47218,12590,26.66356050658647
John Spellar,2015-05-28,318,M,Warley,3828,False,Spellar,E14001016,37829,14702,38.86436331914669
Alec Shelbrooke,2015-05-28,3997,M,Elmet and Rothwell,3472,True,Shelbrooke,E14000689,57797,8490,14.689343737564235
Jon Ashworth,2011-06-08,4244,M,Leicester South,3571,True,Ashworth,E14000783,45942,17845,38.84245352836185
Andrew Stephenson,2015-05-28,4044,M,Pendle,3675,True,Stephenson,E14000875,44448,5453,12.268268538516919
Rebecca Long Bailey,2015-05-28,4396,F,Salford and Eccles,3714,True,Bailey,E14000911,43261,12541,28.9891588266568
Liz McInnes,2015-05-28,4342,F,Heywood and Middleton,3533,True,McInnes,E14000747,48538,5299,10.91721949812518
Helen Jones,2015-05-28,432,F,Warrington North,3829,True,Jones,E14001017,45419,8923,19.645963143177966
Graham Jones,2010-06-30,3999,M,Hyndburn,3544,True,Jones,E14000758,42887,4400,10.25951920162287
Andrew Gwynne,2015-05-28,1506,M,Denton and Reddish,3441,False,Gwynne,E14000661,38681,10511,27.17354773661488
