speaker,date,mp_id,gender,constituency_name,constituency_id,backbencher,surname,ONS ID,Valid votes,Majority,vulnerability
Mary Glindon,2010-06-29,4126,F,North Tyneside,3652,True,Glindon,E14000853,46405,12884,27.76424954207521
Paul Uppal,2010-06-29,4078,M,Wolverhampton South West,3864,True,Uppal,E14001051,40160,691,1.720617529880478
Hugo Swire,2010-06-30,1408,M,East Devon,3460,False,Swire,E14000678,53092,9114,17.1664280870941
Shaun Woodward,2010-06-30,98,M,St Helens South and Whiston,3768,False,Woodward,E14000963,46081,14122,30.646036327336645
Alasdair McDonnell,2010-06-30,1596,M,Belfast South,3316,False,McDonnell,N06000003,34186,5926,17.334581407593753
Gordon Banks,2010-06-30,1589,M,Ochil and South Perthshire,2234,True,Banks,S14000050,50469,5187,10.277596148130536
Graham Jones,2010-06-30,3999,M,Hyndburn,3544,True,Jones,E14000758,42672,3090,7.241282339707536
Gregory Barker,2010-06-30,1389,M,Bexhill and Battle,3322,False,Barker,E14000557,54587,12880,23.595361532965725
Tessa Munt,2010-06-30,4089,F,Wells,3838,True,Munt,E14001026,55864,800,1.43204926249463
Charles Kennedy,2010-07-01,634,M,"Ross, Skye and Lochaber",2456,True,Kennedy,S14000055,34838,13070,37.5165049658419
Oliver Heald,2010-07-01,69,M,North East Hertfordshire,3644,True,Heald,E14000845,50425,15194,30.13187902825979
Stephen McPartland,2010-07-01,4093,M,Stevenage,3773,True,McPartland,E14000968,44651,3578,8.013258381671182
Simon Danczuk,2010-07-01,4059,M,Rochdale,3700,True,Danczuk,E14000897,45907,889,1.9365238416799182
Peter Luff,2010-07-05,268,M,Mid Worcestershire,3609,False,Luff,E14000818,50931,15864,31.14802379690169
Andrew Robathan,2010-07-05,334,M,South Leicestershire,3745,False,Robathan,E14000940,54577,15524,28.44421642816571
Ben Gummer,2010-07-05,3988,M,Ipswich,3547,True,Gummer,E14000761,46941,2079,4.428964018661724
Linda Riordan,2010-07-06,1525,F,Halifax,3509,True,Riordan,E14000723,43555,1472,3.3796349443232696
Daniel Kawczynski,2010-07-06,1566,M,Shrewsbury and Atcham,3729,True,Kawczynski,E14000926,53045,7944,14.975963804317088
Stephen Timms,2010-07-06,163,M,East Ham,3461,False,Timms,E14000679,50373,27826,55.23991026939035
Stephen Barclay,2010-07-06,4095,M,North East Cambridgeshire,3641,True,Barclay,E14000842,52064,16425,31.547710510141364
Patrick McLoughlin,2010-07-06,333,M,Derbyshire Dales,3444,False,McLoughlin,E14000664,46780,13866,29.640872167592992
Adam Afriyie,2010-07-08,1586,M,Windsor,3855,True,Afriyie,E14001042,49588,19054,38.42461885940146
Alan Keen,2010-07-12,169,M,Feltham and Heston,3484,True,Keen,E14000701,48536,4658,9.597000164826108
Karl McCartney,2010-07-12,4028,M,Lincoln,3580,True,McCartney,E14000792,45721,1058,2.3140351260908556
Ian Liddell-Grainger,2010-07-13,1396,M,Bridgwater and West Somerset,3363,True,Liddell-Grainger,E14000595,54493,9249,16.97282219734645
Geoffrey Cox,2010-07-14,1508,M,Torridge and West Devon,3809,True,Cox,E14001000,55257,2957,5.351358198961218
Mark Hendrick,2010-07-15,473,M,Preston,3687,True,Hendrick,E14000885,32505,7733,23.790186125211505
Glyn Davies,2010-07-20,4041,M,Montgomeryshire,3617,True,Davies,W07000063,33813,1184,3.501611806110076
Alistair Carmichael,2010-07-20,1442,M,Orkney and Shetland,2256,False,Carmichael,S14000051,19346,9928,51.31810193321616
Rosie Cooper,2010-07-20,1538,F,West Lancashire,3845,True,Cooper,E14001033,48473,4343,8.959627008850287
Mark Simmonds,2010-07-20,1393,M,Boston and Skegness,3348,True,Simmonds,E14000582,43125,12426,28.813913043478262
Nicholas Brown,2010-07-21,523,M,Newcastle upon Tyne East,3626,False,Brown,E14000832,37840,4453,11.767970401691331
Priti Patel,2010-07-21,4066,F,Witham,3858,True,Patel,E14001045,46835,15196,32.44582043343654
Fabian Hamilton,2010-07-22,415,M,Leeds North East,3567,True,Hamilton,E14000779,47535,4545,9.561375828337015
Graeme Morrice,2010-07-27,4012,M,Livingston,1826,True,Morrice,S14000044,47907,10791,22.52489197820778
Margaret Beckett,2010-09-06,328,F,Derby South,3443,True,Beckett,E14000663,41188,6122,14.8635524910168
Roger Godsiff,2010-09-06,304,M,"Birmingham, Hall Green",3327,True,Godsiff,E14000562,48727,3799,7.796498861001087
Jim Dowd,2010-09-06,189,M,Lewisham West and Penge,3576,True,Dowd,E14000788,45028,5828,12.943057653015902
Sylvia Hermon,2010-09-14,1437,F,North Down,3638,True,Hermon,N06000013,33481,14364,42.90194438636839
David Ruffley,2010-10-12,133,M,Bury St Edmunds,3381,True,Ruffley,E14000613,58718,12380,21.083824380939404
Jeremy Wright,2010-10-13,1560,M,Kenilworth and Southam,3554,False,Wright,E14000767,48431,12552,25.917284383968948
Jenny Willott,2010-10-14,1497,F,Cardiff Central,3389,True,Willott,W07000050,36151,4576,12.658017758844844
Bill Wiggin,2010-10-25,1428,M,North Herefordshire,3646,False,Wiggin,E14000847,47568,9887,20.784981500168183
Jim Hood,2010-10-27,582,M,Lanark and Hamilton East,1678,True,Hood,S14000042,46554,13478,28.951325342612876
Roger Gale,2010-10-27,87,M,North Thanet,3651,True,Gale,E14000852,43343,13528,31.211498973305957
Jonathan Lord,2010-10-27,4090,M,Woking,3860,True,Lord,E14001047,52786,6807,12.89546470655098
Diana Johnson,2010-11-01,1533,F,Kingston upon Hull North,3559,False,Johnson,E14000772,33291,641,1.9254453155507494
Hywel Francis,2010-11-01,1382,M,Aberavon,3287,True,Francis,W07000049,30958,11039,35.6579882421345
Gordon Brown,2010-11-01,591,M,Kirkcaldy and Cowdenbeath,1661,True,Brown,S14000041,45802,23009,50.23579756342518
Alan Meale,2010-11-16,361,M,Mansfield,3599,True,Meale,E14000810,48395,6012,12.422770947411923
Martin Caton,2010-11-16,566,M,Gower,3499,True,Caton,W07000046,41671,2683,6.438530392839145
Siân C. James,2010-11-24,1573,F,Swansea East,3792,True,James,W07000048,32676,10838,33.16807442771453
David Heyes,2010-11-30,1386,M,Ashton-under-Lyne,3298,True,Heyes,E14000537,38432,9094,23.662572855953375
Mike Wood,2010-11-30,401,M,Batley and Spen,3309,True,Wood,E14000548,51109,4406,8.62079085875286
Tim Yeo,2010-12-03,136,M,South Suffolk,3751,True,Yeo,E14000946,51416,8689,16.899408744359732
James Duddridge,2010-12-03,1559,M,Rochford and Southend East,3702,False,Duddridge,E14000899,41631,11050,26.5427205688069
Stephen Crabb,2010-12-21,1554,M,Preseli Pembrokeshire,3686,False,Crabb,W07000065,39602,4605,11.6282005959295
Robert Goodwill,2010-12-21,1562,M,Scarborough and Whitby,3716,False,Goodwill,E14000913,49282,8130,16.49689541820543
Debbie Abrahams,2011-01-25,4212,F,Oldham East and Saddleworth,3670,True,Abrahams,E14000870,34930,3558,10.18608645863155
Khalid Mahmood,2011-02-09,1392,M,"Birmingham, Perry Barr",3331,True,Mahmood,E14000566,42045,11908,28.32203591390177
Dan Jarvis,2011-03-23,4243,M,Barnsley Central,3302,True,Jarvis,E14000541,24219,11771,48.602337008134114
Shailesh Vara,2011-03-29,1496,M,North West Cambridgeshire,3654,False,Vara,E14000855,58283,16677,28.613832506905958
Diana Johnson,2010-06-07,1533,F,Kingston upon Hull North,3559,False,Johnson,E14000772,33291,641,1.9254453155507494
Grahame Morris,2010-05-27,3973,M,Easington,3458,True,Morris,E14000677,34914,14982,42.911153119092624
Gareth Thomas,2011-04-05,177,M,Harrow West,3518,False,Thomas,E14000732,46116,3143,6.815421979356405
Joe Benton,2011-04-26,479,M,Bootle,3347,True,Benton,E14000581,41277,21181,51.31429125178671
Jeffrey M. Donaldson,2011-05-03,650,M,Lagan Valley,3563,False,Donaldson,N06000009,36540,10486,28.697318007662837
Jon Ashworth,2011-06-08,4244,M,Leicester South,3571,True,Ashworth,E14000783,34180,12078,35.33645406670568
Iain McKenzie,2011-07-14,4246,M,Inverclyde,1555,True,McKenzie,S14000038,28097,5838,20.778019005587787
Brooks Newmark,2011-07-19,1488,M,Braintree,3356,False,Newmark,E14000590,49203,16121,32.76426234172713
Chloe Smith,2011-10-18,1609,F,Norwich North,3662,False,Smith,E14000863,42573,3901,9.16308458412609
Philip Dunne,2011-12-20,1542,M,Ludlow,3588,False,Dunne,E14000799,48732,9749,20.00533530329147
Mark Hunter,2011-12-20,1598,M,Cheadle,3403,False,Hunter,E14000627,52512,3272,6.230956733698964
Norman Lamb,2011-12-20,1439,M,North Norfolk,3647,False,Lamb,E14000848,49661,11626,23.410724713557922
Seema Malhotra,2012-01-10,4253,F,Feltham and Heston,3484,True,Malhotra,E14000701,23299,6203,26.62346023434482
Michael Fabricant,2012-03-06,280,M,Lichfield,3579,False,Fabricant,E14000791,51563,17683,34.29397048271047
George Galloway,2012-04-18,609,M,Bradford West,3355,True,Galloway,E14000589,32814,10140,30.90144450539404
Stephen Doughty,2012-11-20,4264,M,Cardiff South and Penarth,3391,True,Doughty,W07000080,19436,5334,27.44391850174933
Lucy Powell,2012-11-22,4263,F,Manchester Central,3596,True,Powell,E14000807,16648,9936,59.6828447861605
Andy Sawford,2012-11-22,4265,M,Corby,3426,True,Sawford,E14000648,35665,7791,21.84494602551521
Steve Reed,2012-12-04,4268,M,Croydon North,3433,True,Reed,E14000655,24562,11755,47.85848057975735
Andy McDonald,2012-12-06,4269,M,Middlesbrough,3610,True,McDonald,E14000819,16866,8211,48.683742440412665
Sarah Champion,2012-12-11,4267,F,Rotherham,3707,True,Champion,E14000904,21430,5318,24.81567895473635
Mike Thornton,2013-03-11,4273,M,Eastleigh,3468,True,Thornton,E14000685,41616,1771,4.25557477893118
Emma Lewell-Buck,2013-06-19,4277,F,South Shields,3749,True,Lewell-Buck,E14000944,24780,6505,26.251008878127525
Mike Kane,2014-02-25,4316,M,Wythenshawe and Sale East,3873,True,Kane,E14001059,23961,8960,37.394098743792
Robert Jenrick,2014-06-18,4320,M,Newark,3623,True,Jenrick,E14000829,38707,7403,19.125739530317514
Liz McInnes,2014-10-23,4342,F,Heywood and Middleton,3533,True,McInnes,E14000747,28472,617,2.1670413037370047
Matthew Hancock,2014-12-04,4070,M,West Suffolk,3846,False,Hancock,E14001034,48089,13050,27.137183139595333
