sentence
"However, that does not dilute the crucial importance of employers being the judge of whether training is worth anything or not."
"Anyone would think that there was a completely different arrangement in 2010, but I am afraid that is not the case."
"Can my hon. Friend assure me that he will continue to press the Home Office on this issue, and not only on seasonal agricultural workers after we leave the EU, but between now and then?"
"The Health Secretary and I have already commissioned a review of the operation of sections 135 and 136 because we want to ensure that appropriate support and provision are available for people who are experiencing mental health problems, and to ensure that they are dealt with in an appropriate way."
Local authorities are ignoring circulars from the Department and housing children in temporary accommodation many miles from their place of education.
"However, this is not something that should be entered into in haste, and I intend to engage fully with the Welsh Assembly Government on the matter."
"We are driving forward reform, including through the Serious Crime Bill, which will strengthen our ability to disrupt and prosecute serious and organised criminals."
"In addition, he will be aware that the Girls' Education Challenge is helping 1.5 million adolescent girls, who have often had children at a very young age, to stay in education and get the education that will help to improve their lifetime earnings."
They were always out of kilter; there were never enough plumbers or enough this or that.
"May I point out to the hon. Lady that, in fact, GPs are often very aware of the services that are needed?"
"We have pylons going through Cumbria, and my constituency has an awful lot of wind farms and telephone masts."
He has nothing to say about the long-term economic plan which shows Britain is on the rise and Labour is on the slide.
"The estimate is that the structural deficit for this year will be 5.3% of GDP, which is down from the record 8.9% in the last year of the previous Government, with it having been the highest in the G7 before the crisis."
"A special subject for me is online violence, abuse and bullying, particularly against women and girls."
That is worth while reflecting on.
"I look forward to meeting the First Minister to discuss a number of things, and this issue would certainly be one of them."
What more can the Department do to help to reassure farmers that we will keep them and their businesses safe?
"The Secretary of State for Business, Innovation and Skills has stated that he wants the UK to borrow tens of billions of pounds to create a Growing Britain fund worth up to £100 billion."
I thank the Secretary of State for her response.
I am still considering when to do that.
"If there are good projects that need European support and we can put together a joint bid and the resources to do that, of course we will do that."
We all need to take every opportunity to express to the Pakistani high commissioner in London and the Government of Pakistan how desperate and sad the world is to see that Pakistan has not managed to resolve that case more swiftly.
"From the figures that I have just given and those that we have looked at, there is no question but that the disparity between where the last Government left us and where it is generally accepted that couples should be is the real cause of the problem that is making people live apart, particularly those on lower incomes."
The serious question is this: how does the Secretary of State plan to monitor the impact that the removal of the bursary might have on students from poorer backgrounds who are training as nurses in England?
"It is, of course, early days, as the Minister has explained, but Surrey Downs CCG is already saving costs in bureaucracy so as to invest strategically in cutting counselling waiting lists, increasing funding for children with multiple disabilities, and setting up virtual wards run by a matron to supervise care in the community."
Those are key positive results in the drive to protect patients from avoidable harm.
"The Prime Minister met Prime Minister Jugnauth and the Mauritian permanent representative to the United Nations in New York in March to discuss a range of issues, including the British Indian Ocean Territory."
"Green growth has been considered across all strands of the growth review, and I welcome recent announcements in this area, including on the green deal, which could support at least 65,000 insulation and construction jobs by 2015."
What consideration are the Government giving to the extent to which the system is working in the best interests of children?
Our hearts go out to the people of Japan as we watch their horror unfold and see warnings today about heightened radiation in Tokyo's water supply.
His lawyers made the argument that the charter was important because it went further than the European convention on human rights and therefore provided added protection.
"That will be a 15% increase in the number of GPs, the biggest increase in the history of the NHS."
The Department for Education has overruled Norfolk county council's proposal for an interim executive board to resolve the future of The Hewett school in my constituency.
The hon. Lady has to wait only a very short time to see what the Government will be doing to deliver a brand-new policy on sport.
"This summer the 100,000th young person will take part in NCS; 98% of young people would recommend it to their friends."
University of Nottingham research shows that victims of forced marriage quite often have learning difficulties.
"I am pleased to see that British Airways, along with BAA, now accepts the finality of the coalition Government's decision that we will not allow the building of a third runway at Heathrow airport."
"He also claimed that there had been a 30% reduction in GP partners' incomes in the past five years, and said that more and more GPs in Slough were turning to private practice."
Will he go to the Treasury and argue for that to happen?
"The pupil premium provides additional funding-rising to £900 per pupil next year-that helps schools to raise the attainment of disadvantaged children, including in literacy and numeracy."
What recent discussions he has had with his international counterparts on US tariffs on steel and aluminium.
The average time was 8.4 weeks.
Let me answer some of the hon. Gentleman's questions.
In the past five years we have halved late payments and through our call for evidence we are looking at what more we can do to end the scourge of late payments affecting small businesses.
"We want people to come forward and we do not want families to be deterred, so it is only by working with communities that we are likely to achieve our aims."
What assessment he has made of the effectiveness of military assistance provided to civil authorities during recent flooding.
"The last time my hon. Friend raised this point, it followed a discussion with Mrs Bone and other members of the family."
"I am delighted that the Leicester Mercury is also on side, too."
"Does my right hon. Friend share those concerns, and will he assure the House that the Northern Ireland Office-"
"To build on that greater awareness and understanding of mental health among general practitioners, will the Minister look at ways in which we can rebalance mental health care away from an overreliance on acute care towards greater and more consistent primary care?"
