vote_decision,year,ons_const_code,constituency_name,under_30,over_65,age,gender,left_right,weight
Labour,2015,E14000535,Ashfield,35.06780226465451,17.48042467178209,45,Male,5,0.5941370129585266
Labour,2015,E14000535,Ashfield,35.06780226465451,17.48042467178209,49,Male,5,1.1882740259170532
Labour,2015,E14000535,Ashfield,35.06780226465451,17.48042467178209,62,Male,5,0.48416298627853394
Labour,2015,E14000535,Ashfield,35.06780226465451,17.48042467178209,26,Female,3,1.4195929765701294
Conservatives,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,67,Female,5,0.48507601022720337
Labour,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,65,Female,5,0.48507601022720337
Labour,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,65,Male,3,0.9683250188827515
Labour,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,56,Male,5,0.9683250188827515
Conservatives,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,83,Male,5,1.1135690212249756
Labour,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,56,Female,3,0.48507601022720337
Conservatives,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,86,Female,10,0.7427840232849121
Labour,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,35,Female,,0.9967989921569824
Labour,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,23,Female,5,1.1312689781188965
Conservatives,2015,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,71,Male,10,0.48416298627853394
Labour,2015,E14000577,Bolsover,34.19177966191398,18.51851851851852,33,Female,,1.4195929765701294
Labour,2015,E14000577,Bolsover,34.19177966191398,18.51851851851852,44,Female,0,1.4951980113983154
Conservatives,2015,E14000577,Bolsover,34.19177966191398,18.51851851851852,70,Female,5,0.9701529741287231
Labour,2015,E14000577,Bolsover,34.19177966191398,18.51851851851852,49,Male,6,1.7824100255966187
Labour,2015,E14000577,Bolsover,34.19177966191398,18.51851851851852,55,Female,2,0.9701529741287231
Labour,2015,E14000577,Bolsover,34.19177966191398,18.51851851851852,-1,Female,4,1.1028269529342651
