"party","ame_diff"
"Labour",0.0011830489099695
"Conservative",-0.00639241091706946
"Labour",-0.00211395664712506
"Conservative",-0.00295509637139233
"Labour",2.83700282881457e-05
"Conservative",0.00121631112706105
"Labour",0.0135553210468739
"Conservative",0.000179328755993753
"Labour",0.00773982669225903
"Conservative",-0.00141040509298975
"Labour",0.00210387252320489
"Conservative",-0.00228927023968941
"Labour",0.000638653365141653
"Conservative",-0.00506130367012804
"Labour",0.0135856058505814
"Conservative",-0.00913930658921234
"Labour",0.00132523390422425
"Conservative",-0.000878232769171422
"Labour",0.00456766656593078
"Conservative",-0.00120784322107819
"Labour",0.00329194646961925
"Conservative",0.00416860329848743
"Labour",0.0108705772883701
"Conservative",-0.00537897694805965
"Labour",0.00121968821116247
"Conservative",0.000213910280655242
"Labour",-0.000982673212968277
"Conservative",-0.00722870017056226
"Labour",0.0148730313916125
"Conservative",0.00330910123043361
"Labour",0.00152658710737078
"Conservative",0.00477519149800317
"Labour",0.00667103343106312
"Conservative",0.000872936542151435
"Labour",-0.00301431970989287
"Conservative",-0.00147231175350388
"Labour",-0.0029931539821626
"Conservative",0.00776164298774962
"Labour",0.0100306870793166
"Conservative",-0.00780862508034467
"Labour",0.00116246344042798
"Conservative",0.00684779214469839
"Labour",0.00520225312565243
"Conservative",-0.000564755406725657
"Labour",0.0171107788664546
"Conservative",-0.00295133717191565
"Labour",0.00799757800146166
"Conservative",0.0045511438836046
"Labour",0.00513127008225257
"Conservative",-0.00228985678573909
"Labour",0.00677125427054803
"Conservative",0.00231362721489613
"Labour",0.00269371388163346
"Conservative",0.00169826425510466
"Labour",0.00610285612038159
"Conservative",0.000569177474764422
"Labour",0.00394961264028513
"Conservative",0.00329767475097842
"Labour",0.00780326854898091
"Conservative",-0.00112440192794211
"Labour",0.00745970401801261
"Conservative",-0.00700018291813628
"Labour",0.00862477128255752
"Conservative",-0.00538739719778837
"Labour",0.00131999981284646
"Conservative",-0.0130709039300287
"Labour",0.00975809087232841
"Conservative",-0.00201643985533996
"Labour",0.00385461299131156
"Conservative",-0.00248029627607121
"Labour",0.00408776235485488
"Conservative",-0.00166890594058698
"Labour",0.0145033342749075
"Conservative",0.000214489290061157
"Labour",0.00684505816463616
"Conservative",-0.00531389082067635
"Labour",0.00234953081875485
"Conservative",0.0035427185959421
"Labour",0.00288337062558877
"Conservative",0.00353189640405864
"Labour",0.0034993395879254
"Conservative",-0.00100601556823331
"Labour",0.00388607479534699
"Conservative",-0.000375294537913759
"Labour",0.00145118249465096
"Conservative",0.00151753326340486
"Labour",-0.00392965645888175
"Conservative",0.00427454324200141
"Labour",0.00424933583082392
"Conservative",0.00152669976345851
"Labour",0.00119220341088382
"Conservative",-0.00956508225738655
"Labour",0.00203537281113031
"Conservative",0.0057623794338549
"Labour",0.0146374932777939
"Conservative",-0.000529939455345529
"Labour",7.7608002739457e-05
"Conservative",-0.00542504716987154
"Labour",0.00157075147890633
