"party","ame_diff"
"Labour",-0.00153063251211074
"Conservative",-0.0225811333896112
"Labour",-0.0195531279605284
"Conservative",-0.00465124785104459
"Labour",-0.00380310031379698
"Conservative",0.00438951210216873
"Labour",-0.0111310583967999
"Conservative",-0.000640347134722475
"Labour",-0.0285748100458133
"Conservative",0.00940797815315622
"Labour",-0.0426037698461976
"Conservative",-0.024104307199332
"Labour",-0.0214707337913801
"Conservative",-0.00675376942023879
"Labour",0.000223795207641119
"Conservative",-0.00971964467612148
"Labour",-0.0323597107878984
"Conservative",-0.00522173140238153
"Labour",-0.0379027621552678
"Conservative",-0.0430302120180965
"Labour",-0.0505198331882609
"Conservative",-0.0027027690521315
"Labour",-0.012506304794257
"Conservative",-0.022616450696871
"Labour",-0.0364637994163957
"Conservative",0.000867855442954793
"Labour",-0.0465539269976318
"Conservative",-0.0369072918197569
"Labour",-0.0295442046590033
"Conservative",-0.0309638980704308
"Labour",-0.0271374871836178
"Conservative",-0.0184961433844869
"Labour",-0.0211908501752607
"Conservative",-0.0317563987411817
"Labour",-0.0243728491412919
"Conservative",-0.00911405253743765
"Labour",-0.0259241127020047
"Conservative",-0.0417097077007632
"Labour",-0.013258024328837
"Conservative",-0.0272837688534469
"Labour",-0.0149279881044652
"Conservative",-0.00479672003737215
"Labour",-0.0329292788872126
"Conservative",-0.022400430686335
"Labour",-0.0249114489611366
"Conservative",0.00233857109453699
"Labour",-0.0345333215105681
"Conservative",-0.00989523029140229
"Labour",-0.0298533133679737
"Conservative",-0.0130749187468575
"Labour",-0.0131101198089163
"Conservative",-0.012396772288072
"Labour",0.00203356511626239
"Conservative",-0.007848570010207
"Labour",-0.0321885717348767
"Conservative",-0.011659215622135
"Labour",-0.0256515607008352
"Conservative",-0.0223290739192205
"Labour",-0.0129692940757524
"Conservative",-0.0289117592468022
"Labour",-0.0040469710587555
"Conservative",-0.000798825804716062
"Labour",0.000832354928536592
"Conservative",-0.00179066166638885
"Labour",-0.0228673386662848
"Conservative",0.000112138655490042
"Labour",-0.0377022943204198
"Conservative",-0.0103905572444384
"Labour",-0.0610131008085855
"Conservative",0.0139595297591771
"Labour",-0.0241751774858607
"Conservative",-0.00641757512132386
"Labour",-0.0283171853554072
"Conservative",-0.0301887539285682
"Labour",-0.0409514227430049
"Conservative",0.0022580174690876
"Labour",-0.021726789700625
"Conservative",-0.0171554604620596
"Labour",-0.019125991094667
"Conservative",-0.0226119488621525
"Labour",-0.0241447177358118
"Conservative",-0.0148348782015531
"Labour",-0.0156198323117136
"Conservative",0.0110668518735062
"Labour",-0.0298276747000581
"Conservative",0.0213752483115131
"Labour",-0.0247686127371671
"Conservative",-0.0144236479599876
"Labour",-0.0106746467647395
"Conservative",-0.000228538928890654
"Labour",-0.0176178229627705
"Conservative",-0.00657203409803808
"Labour",-0.0281623559776259
"Conservative",-0.0144182891751824
"Labour",-0.0185746463171892
"Conservative",-0.0254889177371237
"Labour",-0.0187602071156442
"Conservative",-0.000922900527268939
"Labour",-0.0228537769474005
"Conservative",-0.0257896518176876
"Labour",-0.0302101027247581
"Conservative",-0.0272773678952451
"Labour",-0.0227187992742099
"Conservative",0.00379597359628862
"Labour",-0.0188393105997369
"Conservative",-0.0167243635635225
"Labour",-0.0256051798903744
"Conservative",0.00354431123901284
"Labour",-0.0233800893325705
"Conservative",-0.0150697030166518
"Labour",-0.0319663767196823
"Conservative",-0.0123576713135532
"Labour",-0.015663714809471
"Conservative",-0.0288575171579207
"Labour",-0.0197147505746721
"Conservative",-0.00250415113990265
"Labour",-0.0298253177108819
"Conservative",-0.01345584617737
"Labour",0.0079341047777579
"Conservative",-0.006840948671512
"Labour",-0.0240899354474872
"Conservative",0.00280601443902054
"Labour",-0.0178992877016073
"Conservative",-0.0141894461573121
"Labour",-0.0321808362292942
"Conservative",-0.00764410854371168
"Labour",-0.0266727637558833
"Conservative",-0.00107476550959615
"Labour",-0.0198462088718392
